var;1;2;3;4;5;6;7;8;9;10
14;R error;R 2 ['0', '1', '3', '4'];75 6 13 2 47 4 15 0;;0 2 5 2 ERR;4 5 6;0;3 2 10 6 0 5 4 9 1 7 8;6 0 2 4 3 5 1;1 2 4 5 6
15;R e;R [2, 3, 14];9 2 7 8 3;;0 5 ERR;EE 6 E2 5;5;11 2 9 1 3 5 0 7 10 6 4 8;3 6;1 3 6
16;R 2;R ['0', '1', '2', '3', '4'];72 6 84 1 73 7 28 4;;4 1 5 3;4 5 6;-6;2 1 9 0 10 7 3 5 4 8 6;3 0 2 4 6 1 5;2 5 6
17;R ();R [[1, 2], 10, 11, 12, 13, 14];(75, 4) (53, 4) (71, 4) (85, 8);;0 2 5 2 ERR;16 E2 13;4;6 7 10 8 4 0 9 2 1 3 5;6 1 4 0 3 2 5;1 3 4 5 6
18;R ['9'];R ['0', '1', '2', '3', '4', '1', '1'];82 56 84;;0 2 5 2 ERR;4 2 6;-2;5 0 3 8 10 4 9 7 6 1 2;3 4 5 6;1 2 4 5 6
19;R error;R ['0', '1', '2', '3', '4', [1, 0]];38 41 80 46;;0 1 5 3;16 E2 13;-12;2 3 8 1 7 6 9 5 10 0 4;1 5 6 2 3 0 4;1 2 3 4
20;R [];R [10, 12, 13, 14];2 9 9;;0 5 4 5 ERR;4 5 6;11;6 2 3 4 5 9 10 1 7 8 11 0;1 0 2 4 3 5 6;2 3 4
21;R ('9', '8', '7', '6', '5', '4', '3', '2', '1', '0');R ['0', '1', 13, '2', '3', '4'];25 6 44 3 55 3;;4 1 5 3;16 1 13;5;3 2 8 5 9 4 1 6 0 10 7;5 0 3 6 1 2 4;1 3 4 5
22;R 1;R error;68 3 38 2 27 9 87 8;;0 1 5 3;16 E2 13;-8;9 3 6 5 7 4 10 0 1 2 8;3 1 0 6 2 5 4;2 3 4
23;R 02468;R [10];(32, 5) (59, 8) (68, 9) (38, 8) (84, 0);;0 5 5 5 2;4 5 3;-6;9 4 0 8 1 6 5 3 10 7 2;3 2 1 4 0 5 6;1 2 4 5
24;R a;R ['1', '0'];64 67 83 50 38;;4 1 5 3;4 5 3;5;0 9 8 3 10 5 6 2 7 4 1;1 3 6 0 4 2 5;2 4 5
25;R ();R error;87 26 34 59 46;;0 5 4 5 ERR;EE E1 E2 E3;-9;10 1 3 8 5 9 7 2 4 6 0;4 0 1 2 6 5 3;4 5
26;R 963;R 13 [10, 11, 12, 14];8 5 9 0;;0 5 ERR;14 1 13;12;8 1 9 4 2 6 3 11 0 10 7 5;1 3;2 4 6
27;R [];R ['0', '1', '2', '3', '4', [4, 5]];60 1 54 1 15 9 42 1;;0 2 5 2 ERR;16 E2 13;4;8 9 3 0 5 1 4 6 10 7 2;2 0 3 1 5 6 4;2 3 4
28;R [1, 3];R ['0', '1', '2', '3', '4', 2, 3];77 67 16 20;;0 1 5 3;16 E2 13;-4;8 7 6 3 10 1 2 5 9 0 4;2 5 6;2 4 5
29;R d;R [1, 2];83 9 66 0 34 7 29 0 25 6 21 3;;0 5 4 5 ERR;4 5 6;12;9 3 4 1 8 2 6 5 0 7 10;4 2 0 6 1 3 5;2 3 4 5
30;R ('9', '8', '7', '6', '5', '4', '3', '2', '1', '0');R [10, 11, 12, 13, 14, '1', '2'];(39, 9) (55, 9) (30, 4) (70, 0) (58, 3);;0 1 5 3;4 5 6;0;3 2 6 5 8 0 10 7 1 9 4;3 4 5 6;1 2 3 4 5
31;R d;R error;27 1 26 4 63 7 50 6 44 9;;4 1 5 3;EE 4 1 4;-5;2 5 3 0 9 8 1 6 10 4 7;6 1 0 2 3 5 4;1 3 4 5 6
32;R ('0', '3', '6', '9');R ['0', '1', '2', '3'];(12, 6) (78, 4) (55, 2);;0 1 5 3;4 2 6;4;2 4 5 8 3 0 7 1 6 10 9;1 3;1 2 5 6
33;R 31;R [13, 14];1 5 0 1;;4 1 5 3;4 5 6;0;2 8 1 10 5 3 11 6 4 7 9 0;6 0 1 2 3 4 5;1 5 6
34;R ();R [10, 11, 12, 13, 14, 1, 0];15 69 30;;0 5 5 5 2;4 5 3;-7;10 5 6 0 2 7 9 3 1 8 4;1 4 5 2 3 6 0;1 2 3 6
35;R 0;R ['0', '1', '2', '3', '4', '10'];10 51 55 33 85;;0 1 5 3;4 2 6;-7;8 9 5 10 2 0 7 3 4 6 1;2 1 3 0 4 6 5;1 2 3 5 6
36;R b;R error;43 0 70 7 48 2;;4 1 5 3;14 E2 13;-1;8 1 10 0 11 9 3 4 6 2 7 5;4 2 1 0 3 5 6;3 4
37;R ['7', '6', '5', '4', '3'];R 3;6 8 4 1;;0 4 5 3;4 5 6;-6;0 7 3 1 4 2 8 5 9 10 6;0 1 2 3 4 5 6;1 2 6
38;R [];R [15, '0', '1', '2', '3', '4'];(50, 7) (18, 8) (77, 1) (80, 8) (31, 1);;0 2 5 2 ERR;EE E1 E2 E3;3;7 0 10 1 4 11 9 3 6 2 8 5;1 2 5 6;1 2 4 5 6
39;R error;R [10, 11, 12, 13, 14, 1, 0];35 2 65 4 53 8 19 4;;0 5 4 5 ERR;14 E2 13;5;2 3 10 8 0 5 7 6 1 11 4 9;1 3;1 2 3 4 5
40;R [];R [10, 11, 12, 13, 14, 1, 2];55 19 22 53 11;;0 1 5 3;4 5 6;10;1 9 6 7 4 3 2 8 0 5 11 10;1 2 3 4 6;3 4 5
41;R error;R [];54 0 47 6 51 8 49 8;;0 4 5 3;4 5 6;2;0 4 5 10 6 7 9 2 8 1 3 11;2 3 4 5 6;3 4
42;R error;R ['0', '1', '2', 2, 3, '3', '4'];87 26 63 43;;0 5 ERR;11 E2 13;2;10 7 1 11 9 4 6 8 2 0 3 5;3 2 0 1 4 6 5;1 2 3 4 6
43;R ();R ['0', '1', '2', '3', '4', 19];63 50 62;;0 2 5 2 ERR;4 5 3;-6;5 4 8 7 6 1 0 3 10 2 9;1 2 3;1 3 6
44;R d;R [10, 11];2 1 9 8 4;;0 2 5 2 ERR;4 5 6;3;8 3 9 7 10 0 1 5 2 4 6;1 2 3 5 6;1 4 6
45;R a;R ['0', '1', '2', '3'];58 31 90;;0 5 4 5 ERR;4 2 6;-6;0 5 2 9 11 1 4 3 8 7 6 10;1 0 4 3 6 2 5;1 3 4 5
46;R [4, 1];R ['0', '1', '2', '3', '4', '1', '3'];(75, 1) (56, 1) (63, 1) (47, 9) (64, 1);;0 1 5 3;4 5 6;-1;5 7 6 3 0 2 4 11 8 10 1 9;2 1 0 4 5 3 6;1 3 6
47;R 1;R error;79 9 87 7 83 3 47 7;;0 1 5 3;4 5 6;6;11 4 7 0 6 8 3 10 9 5 1 2;2 1 4 0 3 5 6;2 6
48;R b;R [4, 5, 14];10 9 31 9 28 9 67 8;;0 2 5 2 ERR;4 2 6;-3;6 7 3 5 4 8 9 2 10 0 1;1 2 4 5 6;2 3 5 6
49;R 6;R error;84 8 25 8 51 0 47 5;;0 5 ERR;4 5 6;2;6 4 8 0 9 2 7 1 3 10 5;0 2 1 3 4 5 6;2 3 4 5 6
50;R ();R [10, 11, 12, 13, 14];89 82 86;;0 4 5 3;16 1 13;-10;8 1 10 5 0 7 9 4 3 6 2;1 3 0 4 2 5 6;1 2 3 4 6
51;R [];R ['11', 10, 11, 12, 13, 14];(56, 1) (28, 2) (27, 8) (76, 4) (80, 4);;0 5 ERR;16 E2 13;-5;3 5 0 1 6 7 10 9 11 2 8 4;3 0 1 4 6 2 5;3 6
52;R 9630;R error;68 31 11;;0 2 5 2 ERR;16 1 13;2;6 11 0 4 2 10 1 9 8 7 3 5;1 2 4;1 2 5
53;R (9, 8, 7, 6, 5, 4, 3, 2, 1, 0);R ['1', '2'];36 5 19 9 73 5 85 4 33 5 18 4;;0 1 5 3;4 5 6;1;4 2 8 3 0 11 7 9 10 5 1 6;2 3 4 0 1 5 6;1 2 3 4 6
54;R [];R [1, 2, '3', '4'];1 9 6 9;;0 4 5 3;4 5 3;5;9 6 2 5 1 4 0 8 10 7 3;2 3 4 5;4 5
55;R error;R [10, 11, 12, 13, 14];42 5 87 8 34 2;;0 5 4 5 ERR;16 1 13;-2;8 6 1 11 7 2 4 3 10 0 5 9;1 3 4;1 3 4 5
56;R ('5', '8');R error;(23, 3) (74, 8) (44, 6) (29, 1);;0 2 5 2 ERR;EE 6 E2 5;-9;7 10 4 0 9 6 1 5 2 8 3;1 2 4 5 6;1 2 3 5 6
57;R a;R ['1', '0', '0', '1', '2', '3', '4'];70 90 72;;0 5 ERR;16 E2 13;7;9 6 5 11 7 8 10 2 3 1 0 4;3 0 1 5 4 6 2;1 2 4 5 6
58;R 1;R ['1', '1', 10, 11, 12, 13, 14];77 4 81 3 83 1 70 1;;0 1 5 3;11 E2 13;5;7 1 5 4 9 8 6 10 2 11 3 0;1 3 4;1 4 5
59;R d;R ['0', '1', '2', '3', '4', 4, 5];15 23 22;;4 1 5 3;4 5 6;0;10 7 4 8 6 1 0 5 2 9 3;3 0 1 6 2 5 4;1 3 5 6
60;R 1;R ['0', '1', '2', '3', '4'];1 2 6 4;;0 2 5 2 ERR;14 E2 13;7;1 4 0 9 2 11 6 10 3 7 5 8;2 4 5;1 3 4 6
61;R ('9',);R ['13', 10, 11, 12, 13, 14];90 64 86 37;;0 1 5 3;4 2 6;-5;5 6 7 10 8 1 9 0 4 3 2;1 2 3 4 5;2 3 4
62;R ['3', '0'];R 1 ['0', '2', '3', '4'];58 9 12 7 57 5 62 7;;0 5 4 5 ERR;14 E2 13;-7;0 1 8 4 3 9 2 5 6 7 11 10;1 2 3 4 5;1 3 4 5 6
63;R c;R error;(25, 7) (47, 7) (13, 6) (12, 7);;0 5 5 5 2;16 E2 13;0;2 5 1 9 7 6 3 4 10 8 0;3 5 2 0 1 6 4;2 3 4
64;R (9, 8, 7, 6, 5, 4, 3, 2, 1, 0);R [10, 11, 12, 13, 1, 0, 14];3 0 3 7 5;;0 4 5 3;11 E2 13;-12;5 8 3 2 0 9 1 11 4 6 7 10;6 0 1 3 2 5 4;2 5
65;R error;R ['0', '1', '2', '3', '4', '11'];14 8 34 3 84 8 31 2;;0 2 5 2 ERR;4 5 3;-7;2 9 5 1 6 0 8 4 10 3 7;2 0 1 4 3 5 6;1 3 4 5
66;R error;R ['0', '1', '2', '3', '4', 1, 2];50 80 62;;4 1 5 3;14 E2 13;3;0 11 3 1 10 5 2 8 9 6 7 4;1 3 5 6;1 2 3 5
67;R d;R [10, 11, 12, 13, 14, '1', '3'];62 1 35 2 54 6 84 0 67 5;;0 5 4 5 ERR;4 5 6;0;8 2 3 4 5 6 10 1 9 0 7;2 1 3 0 4 5 6;1 2 5 6
68;R;R 4 ['0', '1', '2', '3'];31 5 20 6 10 8 29 6 72 0;;0 1 5 3;16 E2 13;10;1 3 10 5 4 9 7 2 8 6 0;2 3 4 5 6;1 2 4
69;R [];R ['0', '1', '2', '3', '4'];65 81 72;;0 5 5 5 2;16 1 13;-4;5 4 7 2 3 10 1 0 8 9 6;2 3 0 5 4 1 6;2 4 5
70;R c;R [];4 1 8 9;;4 1 5 3;16 1 13;7;7 10 2 5 0 6 4 9 1 11 3 8;1 4;1 2 3 4 5
71;R ();R [10, 1, 0];23 71 17 18;;0 1 5 3;4 5 6;4;8 9 3 0 5 4 10 2 7 1 6;1 2 3 4 5;1 2 3 4
72;R e;R [10, 11, '10', 12, 13, 14];(28, 1) (51, 6) (20, 7) (53, 6) (12, 8);;0 1 5 3;4 5 6;-1;5 0 4 7 9 2 1 11 3 6 10 8;0 1 2 3 5 4 6;2 3 4 6
73;R 0;R ['0', '1', '2', '3', '4', 4, 5];5 4 3;;4 1 5 3;4 5 6;-8;2 8 6 1 3 10 4 0 9 7 5;2 4 0 3 1 5 6;1 3 4 6
74;R error;R 2;10 32 74 20;;4 1 5 3;4 2 6;1;0 1 11 3 2 4 10 6 7 9 8 5;4 1 2 0 5 6 3;1 3 6
75;R ();R [10, 11, 12, 13, 14, [2, 3]];34 8 13 9 22 0 69 2;;0 5 4 5 ERR;4 5 6;4;5 3 10 6 7 9 8 4 2 1 0;2 0 4 3 6 5 1;1 3 6
76;R 3;R [10, 11, 12, 1, 2];23 9 24 6 48 8;;0 1 5 3;4 5 3;0;1 6 9 3 7 8 4 10 2 0 5;1 3 2 0 5 6 4;1 2 4 5 6
77;R error;R ['0', '1', '2', '3', '4'];(55, 2) (71, 2) (73, 8) (12, 4) (18, 8);;0 5 4 5 ERR;16 E2 13;4;11 2 10 8 5 6 7 0 9 3 1 4;1 2 4 5 6;1 2 3 6
78;R error;R error;18 55 30 26 50;;0 5 5 5 2;4 5 6;8;3 10 4 1 9 6 0 8 2 7 5;6 0 3 4 1 2 5;2 5
79;R error;R error;88 5 81 6 84 2 42 3 39 3;;0 5 4 5 ERR;4 5 3;-14;1 10 3 6 2 4 5 7 8 9 0;1 2 3 4;2 4 5
80;R;R [];(63, 3) (57, 0) (65, 0) (46, 3) (18, 4);;0 2 5 2 ERR;4 5 6;4;6 3 0 11 8 5 7 9 2 4 10 1;0 1 5 2 4 3 6;1 3 4 5 6
81;R [0, 2, 4, 6, 8];R ['0', '1', '2', '3', '4', '12'];28 34 44;;0 2 5 2 ERR;14 E2 13;0;0 1 5 2 10 3 4 6 9 11 7 8;3 2 0 1 5 4 6;1 3 5
82;R ['9'];R [10, 11, 12, 13, '1', '0', 14];77 8 65 5 30 1 50 8;;4 1 5 3;4 5 6;-4;1 9 8 4 6 11 0 5 10 7 3 2;2 3 4 5;1 2 4 5 6
83;R 0;R ['0', '1', '2', '3', '4', 13];5 9 0 6;;0 1 5 3;4 2 6;1;8 0 6 4 3 11 9 5 2 1 10 7;1 2 3 5;1 2 6
84;R [];R [];68 39 89;;0 5 ERR;16 1 13;-3;8 7 4 10 11 0 1 3 6 5 9 2;1 3 0 4 2 5 6;2 3 5 6
85;R ('9', '6', '3');R ['1', '3', '1', '2', '3', '4'];42 55 54 70 39;;0 1 5 3;4 5 6;3;7 1 8 4 6 0 10 5 3 9 2;1 3 0 5 4 2 6;4 6
86;R 02468;R [10, '1', '1', 11, 12, 13, 14];61 1 56 7 50 6 73 1 59 4;;0 4 5 3;4 5 6;12;10 3 1 2 7 11 8 5 0 9 4 6;2 4 6;3 4 5 6
87;R (2, 0);R ['0', '1', '2', '3', '4'];(52, 7) (62, 5) (25, 9) (70, 6);;0 1 5 3;EE 4 1 4;0;7 4 3 10 9 2 8 6 0 5 1;3 4 0 5 2 1 6;4 5
88;R [];R 0 ['1', '2', '3', '4'];81 72 48 55;;0 4 5 3;4 2 6;-5;1 8 0 3 6 9 7 2 11 5 10 4;5 1 4 2 0 3 6;1 2 3 4 6
89;R 630;R error;5 6 4 2;;0 2 5 2 ERR;4 5 6;-5;6 10 2 0 9 8 1 3 5 4 7;4 0 1 2 6 3 5;2 3 4 5 6
90;R e;R error;82 5 31 9 13 7;;4 1 5 3;4 5 3;-7;1 3 2 10 9 8 0 6 5 7 4;1 4 6;2 3 5
91;R ();R ['0', '1', '2', '3', '4', '1', '2'];1 1 8;;0 1 5 3;16 1 13;-1;3 1 8 10 7 6 9 5 0 4 2;1 4 5;3 4 5
92;R 1;R [10, 11, 12, 13, 14];(37, 4) (84, 8) (46, 1) (59, 8) (17, 5);;0 5 ERR;14 1 13;-2;8 3 2 0 6 4 1 10 9 7 5;5 0 1 2 3 4 6;2 3 4
93;R a;R ['0', '1', '2', '3', '4', 1, 0];43 88 83 80 46;;0 2 5 2 ERR;EE E1 E2 E3;5;9 8 1 0 3 7 2 11 4 10 6 5;6 1 3 0 4 2 5;2 3 4 5 6
94;R ['9', '7', '5', '3', '1'];R error;87 9 35 7 54 9 39 7;;0 5 4 5 ERR;4 5 6;-4;5 0 10 4 1 9 2 3 8 11 7 6;2 3 4 5;2 3 5
95;R 0;R ['0', '1', '2', '3', 2, 3];19 16 65 77 48;;0 5 5 5 2;14 E2 13;5;10 6 1 9 5 0 4 3 7 11 2 8;2 1 4 5 0 6 3;2 3 6
96;R [9, 8, 7, 6];R [10, 11, 12, '11', 13, 14];40 7 61 7 47 5 36 7;;0 5 4 5 ERR;4 5 3;2;9 3 6 7 4 10 5 0 11 1 8 2;1 3 4;3 4 5
97;R b;R ['0', '1', '2', '3', '4', [1, 0]];28 3 34 5 37 2 66 1;;0 4 5 3;EE 6 E2 5;-3;7 0 4 2 9 8 6 3 1 10 11 5;6 1 3 4 0 5 2;1 2 4 6
98;R ('0',);R [11, 12, 13, 14];9 8 9 1 5;;0 1 5 3;16 1 13;5;5 0 1 2 8 9 4 7 3 10 6;1 2 0 3 4 5 6;1 4 5
99;R ['0', '2', '4', '6', '8'];R [4, 5, 13, 14];(72, 7) (36, 3) (44, 3) (49, 5) (47, 3);;0 5 ERR;4 5 6;-1;6 5 9 7 4 0 8 3 10 2 1;4 3 0 5 2 6 1;1 2
100;R ();R [15, '0', '1', '2', '3', '4'];23 3 22 1 17 5 87 4;;0 2 5 2 ERR;EE 6 E2 5;-3;2 0 4 9 10 7 3 5 6 1 8;3 2 4 5 6 0 1;1 2 3 4 5
