var;1;2;3;4;5;6;7;8;9;10;11
19;R [];R [10, 11, 12, 13, 14, '10'];7 0 0 0 0;;0 1 5 3;4 5 3;-3;2 8 1 0 3 10 7 4 6 9 5;0 5;6 0 2 4 3 5 1;1 4 5
20;R 52;R 3 ['0', '1', '2', '4'];(54, 0) (47, 6) (51, 8) (49, 8);;4 1 5 3;4 5 6;-3;10 7 4 8 6 1 0 5 2 9 3;2 3 4 5 6 8;2 3 4 0 1 5 6;1 4 5
21;R d;R [10, 11, 12, 13, 14];23 22 17 87;;0 2 5 2 ERR;14 E2 13;3;0 6 10 3 5 8 2 7 1 9 4;3 5 6 8 9;0 1 5 2 3 4 6;2 4 6
22;R ['3'];R [10, 11, 18, 12, 13, 14];63 4 50 2 62 9;;0 1 5 3;4 5 6;-8;4 1 8 2 3 0 10 7 5 6 9;3 5 7 8;3 0 2 1 4 6 5;1 4 5 6
23;R (3, 6, 9);R ['0', '1', '2', '3', '4', '1', '3'];75 4 53 4 71 4 85 8;;0 2 5 2 ERR;11 E2 13;-1;7 9 5 4 3 2 6 0 8 1 10;3 4 5 7 8 9;5 0 1 2 3 4 6;2 4 6
24;R ('0', '2', '4');R ['1', '1', '1', '2', '3', '4'];26 39 76 43;;0 1 5 3;4 5 6;-8;5 9 0 3 1 7 4 8 6 2 10 11;1 4 7 9;6 1 4 0 3 2 5;2 3 4 5 6
25;R d;R error;54 33 69;;0 5 ERR;EE 6 E2 5;-5;9 3 2 6 10 11 8 0 7 1 4 5;0 9;1 2 3 4;1 2 3 4
26;R;R ['0', '1', '2', '3', '4', '1', '3'];65 81 72;;0 2 5 2 ERR;4 2 6;7;9 10 2 3 4 11 5 8 0 1 7 6;4;4 2 0 6 3 1 5;3 4 5
27;R [];R [10, 11, 12, 13, 14];(19, 2) (41, 2) (27, 9) (61, 8);;0 5 4 5 ERR;4 5 6;8;1 9 7 4 11 8 5 10 6 0 2 3;0 2 5 7;5 3 1 2 0 4 6;1 2 3 4 6
28;R ();R [10, 11, 12, 13, 14, 4, 5];25 6 44 3 55 3;;0 4 5 3;4 5 6;8;9 1 2 6 10 4 5 11 7 8 3 0;1 2 3 5 6;1 4 6;2 3 5 6
29;R 4;R ['1', '2'];1 6 9 7;;4 1 5 3;4 5 6;7;2 10 8 1 6 5 3 0 4 7 9;0 1 2 8;2 0 1 4 3 6 5;1 5
30;R [0, 3, 6, 9];R ['0', '1', '2', '3', '4', 4, 5];75 9 69 0 43 2 41 0;;0 5 ERR;4 5 3;-2;8 5 4 7 6 3 9 2 1 0 10;1 9;3 4 5;1 3 4 5 6
31;R [];R error;3 9 6 2;;0 1 5 3;14 E2 13;-7;6 5 4 10 1 3 7 11 9 0 2 8;3 7 9;6 0 1 3 2 5 4;1 3 4 5 6
32;R error;R ['0', '1', '2', '3', '4', '11'];48 21 39 14;;4 1 5 3;4 2 6;6;7 5 0 8 11 2 1 3 9 6 4 10;1 4 7 9;6 1 0 3 2 5 4;2 3 5 6
33;R error;R [11, 12, 13, 14];37 4 84 8 46 1 59 8 17 5;;0 2 5 2 ERR;4 5 6;2;9 3 4 1 8 2 6 5 0 7 10;1 2 3 4 5 9;3 0 2 4 6 1 5;2 3 5
34;R 1;R error;(81, 1) (42, 5) (32, 0) (67, 1);;0 5 ERR;4 2 6;-4;0 9 8 3 10 5 6 2 7 4 1;0 4 5 9;1 2 4 5 6;1 3 4 5
35;R 0;R ['0', '1', '2', '3', '4'];84 8 25 8 51 0 47 5;;0 2 5 2 ERR;4 5 6;5;5 2 7 3 0 10 9 6 1 4 8;0 6 7 9;1 4 6;2 5 6
36;R c;R ['0', 1, 0, '2', '3', '4'];90 55 46 26 41 75;;0 2 5 2 ERR;EE 4 1 4;2;0 8 4 9 1 7 2 5 6 3 10;1 4 7 9;1 0 3 4 6 5 2;2 3 4 5
37;R ('9', '7');R [10, '13', 11, 12, 13, 14];48 71 21 25;;0 5 4 5 ERR;16 E2 13;-8;4 5 10 0 1 11 3 7 9 2 8 6;3 5 7 8;3 0 1 4 6 2 5;1 2 3 4 6
38;R error;R error;25 1 11 7 19 9 52 4 37 5;;0 1 5 3;4 5 3;3;9 1 7 11 2 6 8 0 3 5 4 10;0 1 2 5 8;3 0 1 2 4 6 5;1 2 3 5
39;R 6543210;R ['0', '1', '2', '3', '4', '1', '1'];53 19 13;;0 5 ERR;4 5 6;-7;5 7 0 6 1 4 9 3 10 8 2;4;2 1 4 5 0 6 3;1 3 5 6
40;R error;R 0 ['1', '2', '3', '4'];5 5 5 4;;0 1 5 3;4 5 3;4;6 0 10 2 9 7 8 1 4 5 3;0 1 6 7 9;4 5 0 1 3 2 6;2 3 5
41;R b;R [10, 11, [1, 0], 12, 13, 14];79 5 68 4 41 3;;0 2 5 2 ERR;4 2 6;5;7 8 3 6 5 1 4 11 9 0 2 10;0 2 3 5 6;3 4 0 1 2 6 5;1 5 6
42;R error;R error;(26, 6) (64, 6) (82, 9) (45, 1);;4 1 5 3;14 E2 13;-8;7 2 10 8 1 9 3 6 0 5 4;0 2 8;3 0 1 4 2 5 6;1 2 3 4 6
43;R 1;R [];9 7 3 7;;0 1 5 3;4 5 6;10;6 1 2 0 9 7 4 10 5 8 3;2;1 4 6;2 5 6
44;R ['0', '2', '4', '6', '8'];R error;33 2 25 7 12 4 70 3;;4 1 5 3;4 5 6;3;7 11 6 8 5 2 3 4 10 9 1 0;2 9;1 4;1 3 4 5 6
45;R ('7', '6', '5', '4', '3', '2', '1', '0');R ['0', '1', '2', '4'];80 1 52 9 38 3 23 1 89 4;;0 1 5 3;4 5 6;-2;10 8 9 0 1 7 5 2 3 6 4;3 4 6 9;1 3 4 0 5 2 6;1 2 3 5 6
46;R error;R [10, 11, 12, 13, 1, 2, 14];(68, 3) (38, 2) (27, 9) (87, 8);;0 5 5 5 2;4 5 6;1;9 8 4 6 5 1 11 3 2 0 10 7;0 3 4 5 7;1 3 4;2 4
47;R ();R [10, 11, 12, 13, 14];41 73 32 11 51;;4 1 5 3;4 2 6;-2;5 4 2 0 3 1 11 8 7 10 6 9;2 4 5;3 0 1 6 2 5 4;1 2 4
48;R [];R ['1', '0', '0', '1', '2', '3', '4'];87 47 88 33;;0 5 4 5 ERR;14 E2 13;1;10 7 1 11 9 4 6 8 2 0 3 5;3 4 5;5 0 3 4 1 6 2;3 6
49;R 0;R [13, 14];(89, 9) (82, 5) (86, 2);;0 2 5 2 ERR;14 E2 13;6;9 2 10 6 7 11 5 1 8 0 4 3;9;4 0 1 2 6 5 3;1 3 5 6
50;R c;R ['0', '1', '2', '1', '2'];68 67 30 13 46;;0 5 ERR;4 5 6;-3;8 7 4 10 11 0 1 3 6 5 9 2;1 4 9;1 2 3 4 5;1 2 3 5
