var;1;2;3;4;5;6;7;8
31;<class 'dict'>;55 19 22 53 11;0 1 5 3;;2;;10 4 0 3 8 2 7 6 11 9 1 5;4 5 6
32;<class 'list'>;89 53 80 30;0 2 5 2 ERR;;-10;;9 8 5 2 1 10 7 3 4 6 0;1 3 4 5 6
33;<class 'dict'>;5 6 5 2 2;0 4 5 3;;-2;;9 2 10 6 7 11 5 1 8 0 4 3;1 5
34;<class 'list'>;(63, 3) (57, 0) (65, 0) (46, 3) (18, 4);4 1 5 3;;5;;7 8 5 10 1 2 4 9 0 3 6;1 3 4 5 6
35;<class 'tuple'>;10 2 24 6 37 8 77 1;0 5 ERR;;8;;5 7 0 6 1 4 9 3 10 8 2;3 4
36;<class 'dict'>;34 8 13 9 22 0 69 2;0 1 5 3;;6;;11 8 0 5 3 4 10 2 9 1 7 6;1 2 3 5 6
37;<class 'list'>;(21, 9) (57, 5) (89, 9) (32, 8);4 1 5 3;;4;;8 0 9 5 1 3 4 10 2 6 7;1 2 3 4 6
38;<class 'dict'>;28 34 44;0 1 5 3;;6;;4 7 0 11 3 1 10 8 6 2 9 5;3 5
39;<class 'list'>;3 9 6 2;0 4 5 3;;-6;;8 6 1 11 7 2 4 3 10 0 5 9;1 4 6
40;<class 'set'>;10 4 48 0 64 4 35 3 76 9;0 5 4 5 ERR;;-7;;2 3 10 8 0 5 7 6 1 11 4 9;1 2 3 5 6
41;<class 'list'>;47 1 20 1 87 3 50 8;0 1 5 3;;7;;8 10 1 4 5 2 7 9 0 3 6;2 5 6
42;<class 'list'>;84 25 51 47;0 2 5 2 ERR;;3;;4 0 7 10 9 3 6 5 2 8 1;4 5
43;<class 'dict'>;7 0 9 3 3;0 5 5 5 2;;-2;;2 0 6 1 4 3 5 8 10 9 7;1 2 3 5
44;<class 'dict'>;37 39 75 72 77;0 5 4 5 ERR;;10;;10 7 4 8 5 0 2 9 6 3 1;2 3 4 5
45;<class 'set'>;11 88 40;4 1 5 3;;9;;6 3 10 2 0 1 5 7 4 9 8;1 2 4 5
46;<class 'set'>;39 9 55 9 30 4 70 0 58 3;0 1 5 3;;-8;;3 8 1 9 11 6 4 10 0 7 2 5;2 3
47;<class 'dict'>;(52, 0) (55, 9) (21, 9) (36, 5) (67, 5);0 5 ERR;;4;;9 1 4 8 5 3 10 6 2 7 0;1 5 6
48;<class 'tuple'>;32 3 70 2 67 7 83 7;0 2 5 2 ERR;;-6;;9 5 8 6 0 3 2 7 1 4 10;1 3 5 6
49;<class 'dict'>;78 38 19 51;0 2 5 2 ERR;;8;;5 3 1 8 0 10 9 6 7 2 11 4;1 2 3 5
50;<class 'set'>;62 35 54 84 67;0 5 ERR;;1;;3 2 6 1 8 5 4 7 0 10 9;1 4 5 6
51;<class 'dict'>;28 0 17 0 58 3 38 2;0 2 5 2 ERR;;1;;5 4 2 0 3 1 11 8 7 10 6 9;1 2 4 5 6
52;<class 'dict'>;72 7 36 3 44 3 49 5 47 3;0 4 5 3;;0;;4 6 8 1 5 9 2 3 10 0 7;2 4
53;<class 'tuple'>;2 1 1 9;0 5 ERR;;-1;;8 2 3 4 5 6 10 1 9 0 7;1 4 5 6
54;<class 'list'>;(27, 1) (26, 4) (63, 7) (50, 6) (44, 9);0 1 5 3;;-9;;1 6 9 3 7 8 4 10 2 0 5;1 3 4 6
55;<class 'dict'>;(87, 9) (35, 7) (54, 9) (39, 7);0 4 5 3;;0;;6 9 5 1 8 3 4 2 11 0 10 7;1 5 6
56;<class 'list'>;4 8 5 8 7;0 1 5 3;;-3;;3 10 4 1 9 6 0 8 2 7 5;2 4 5 6
57;<class 'list'>;39 22 70 66;4 1 5 3;;-2;;1 7 0 5 4 2 10 6 3 8 9;1 2 4 5 6
58;<class 'set'>;79 9 87 7 83 3 47 7;0 1 5 3;;1;;6 4 8 0 9 2 7 1 3 10 5;2 5 6
59;<class 'set'>;15 23 22;0 2 5 2 ERR;;2;;8 1 6 9 10 4 3 2 5 0 7;1 3 4
60;<class 'dict'>;81 1 42 5 32 0 67 1;0 5 4 5 ERR;;-12;;4 0 7 9 3 10 11 1 5 2 8 6;1 2 3 4 6
