var;1;2;3;4;5;6;7;8;9
22;False;ff7;5;5True964;error;R;R 1;16 E2 13;2 1 4 5 0 6 3
23;True;ffFalse;5 2 69 7 6;58137;12 7 6 3;R;R [10, 11, 12, 13, 14];16 E2 13;3 0 1 6 2 5 4
24;False;f0;4 2 58 9 7;052;8 9 5 5;R 0;R [10, 11, 12, '13', 13, 14];1 2;4 5 6 0 1 3 2
25;0.0;fFalse;error;90173;7 4 1 9;R 7;R ['0', '1', '2', '3', '4', 2, 3];2 3;0 3 4 1 2 5 6
26;1.2;f-6;error;4False061;error;R 5 5 3 3 1 1 -1 -1 -3 -3;R ['1', '3'];1 2;2 0 1 6 4 3 5
27;True;ff1;2;02254;7 1 9 7;R 5;R 4 ['0', '1', '2', '3'];2 3;6 1 3 4 0 5 2
28;0;ffTrue;9;86347;18 1 5 7;R 0;R [10, 11, 12, 14];11 E2 13;0 1 2 3 5 4 6
29;1.0;fTrue;0 2 48 7 9;88error;9 2 9 1;R 5;R error;14 E2 13;3 0 2 1 4 6 5
30;False;ff-5;error;324;10 7 5 1;R 3;R [10, 11, 2, 3];1 3;5 0 1 2 3 4 6
31;True;f6;2 0 49 7 6;00638;error;R -10 -10 -7 -7 -4 -4 -1 -1 2 2;R ['0', '1', 4, 5];2 3;2 1 0 3 4 5 6
32;False;ffTrue;error;930;11 5 2 2;R 12;R [10, 11, 12, 13];2 3;4 0 1 2 6 3 5
33;True;ffTrue;8;5True491;error;R;R ['0', '1', '2', '3', '4'];EE 6 E2 5;0 5 2 1 3 4 6
34;False;ff0;8;309;15 8 5 4;R;R 0;1 3;1 3 6 0 4 2 5
35;False;ffFalse;5;28896;11 0 2 3;R 3;R [10, 11, 12, 13, 14];16 1 13;2 3 0 4 5 1 6
36;False;f-4;6;42125;14 5 9 2;R;R ['11', 10, 11, 12, 13, 14];16 E2 13;2 1 4 0 3 5 6
37;False;ffTrue;2;601;5 3 5 3;R;R ['0', '1', '2', '3', '4', 2, 3];1 2;4 0 2 3 5 6 1
38;False;ff2;5 4 68 7 9;428;8 1 9 4;R 5;R [4, 5];1 3;5 0 4 2 6 1 3
39;False;f7;error;11317;31 6 4 8;R 0 0 3 3 6 6;R ['0', '1', '2', '3', '4', '1', '1'];11 E2 13;2 3 0 1 4 5 6
40;0;fFalse;3;9True824;9 9 2 5;R 0;R [10, 11, 12, 13, 14, [1, 0]];2 3;1 0 3 2 4 5 6
41;-1.0;ff-8;3;057;error;R 5;R ['0', '1', '3', '4'];16 1 13;0 3 1 6 2 4 5
42;1.5;ffFalse;error;28305;12 5 8 0;R 4 4 3 3 2 2 1 1 0 0 -1 -1 -2 -2 -3 -3 -4 -4 -5 -5 -6 -6 -7 -7;R ['0', '1', '3', '2', '3', '4'];EE 6 E2 5;5 0 3 4 1 6 2
43;True;fTrue;2 4 67 8 9;9True427;10 4 8 2;R;R 14 [10, 11, 12, 13];11 E2 13;1 0 2 4 3 5 6
44;-1.75;ff-5;5;351;error;R -1;R [10, 1, 2];2 3;3 5 2 0 1 6 4
45;0;fTrue;1 5 06 8 9;83935;error;R;R ['0', '1', '2', '3', '4'];16 E2 13;3 4 0 5 2 1 6
46;False;ff-1;1;0False161;5 2 4 2;R;R ['1', '2', 12, 13, 14];1 2;4 3 0 5 2 6 1
47;False;ffTrue;5;41725;9 6 9 7;R 6 6 5 5 4 4 3 3 2 2 1 1 0 0 -1 -1 -2 -2;R ['0', '1', 13, '3', '4'];1 3;1 0 2 6 3 4 5
48;False;f2;6;97465;18 9 7 3;R 9;R [10, 11, 12, '1', '0'];16 E2 13;4 0 1 5 2 6 3
49;0;ffTrue;error;32error;12 8 3 9;R 11;R [10, 11, 12, 13, 14, '13'];2 3;0 1 2 3 4 5 6
50;True;ff-9;7;465;error;R;R ['0', '1', '2', '3', '4', '1', '2'];2 1;0 2 4 1 3 5 6
51;1.0;f8;5 0 28 7 9;80642;error;R;R error;16 E2 13;4 0 1 2 6 5 3
52;False;fFalse;9;019;13 6 8 0;R 9;R [];1 3;2 1 0 4 5 3 6
53;True;ffTrue;error;26383;15 3 9 5;R;R ['0', '1', '2', '3', '4', [1, 2]];14 E2 13;1 0 2 3 6 5 4
54;0.0;f-1;error;7False294;6 3 8 2;R 11;R ['0', '1', '2', '3', '4', 4, 5];1 3;1 0 3 4 6 5 2
55;False;ffTrue;0;607;15 6 4 8;R;R error;1 3;1 3 4 0 5 2 6
56;84.0;ff7;4 2 77 8 9;94153;error;R;R error;14 E2 13;2 0 3 4 5 1 6
57;0.7142857142857142;ffTrue;error;7False298;error;R;R [10, 11, 12, 13, 2, 3, 14];16 E2 13;2 4 0 1 3 6 5
58;True;f7;4;454;error;R 9;R ['0', '1', 16, '2', '3', '4'];14 1 13;4 0 1 2 3 5 6
59;0.9375;f-4;6;77error;error;R;R ['0', '1', '2', '3', '4'];2 3;3 0 1 2 4 6 5
60;0.3333333333333333;fFalse;1;20086;10 2 7 6;R 1;R 12 [10, 11, 13, 14];EE 6 E2 5;0 1 2 3 4 6 5
61;False;ffTrue;1 3 08 6 7;859;14 1 3 9;R 1;R [10, 11, 12, 13, 14, '1', '1'];14 E2 13;1 3 2 0 5 6 4
62;True;f5;error;72121;13 2 8 3;R 5;R ['0', '1', '2', '3', '4', '1', '0'];14 E2 13;3 2 4 5 6 0 1
63;False;ff6;error;62700;13 1 6 0;R 12;R [1, 0];16 E2 13;3 2 0 1 5 4 6
64;True;ffFalse;2;3False629;4 0 1 5;R;R ['0', '1', '2', '3', '4', 2, 3];11 E2 13;6 0 1 3 2 5 4
65;True;ff2;error;43error;7 2 4 1;R;R error;2 3;1 0 2 4 3 6 5
66;True;fTrue;error;04754;error;R 6;R [];2 1;0 1 2 4 5 6 3
67;False;ff2;9;3False289;13 3 6 5;R;R error;16 E2 13;1 0 4 3 6 2 5
68;0.0;fTrue;1 5 28 6 9;11896;22 4 5 5;R 8;R [11, 12, 13, 14];EE 6 E2 5;0 2 1 3 4 5 6
69;2.857142857142857;fTrue;0;247;3 7 3 8;R 6;R error;1 3;1 2 0 3 4 5 6
70;0.0;ff-4;7;632;error;R 8;R ['1', '2'];1 3;1 3 0 5 4 2 6
71;False;f1;2;5False276;error;R 8;R ['0', '1', '2', '3', '4', '13'];2 3;4 0 1 2 3 6 5
72;True;fFalse;3;329;9 8 5 3;R 15;R ['0', 2, 3];1 2;3 0 1 6 2 4 5
73;4.0;f0;error;37041;7 0 7 2;R;R [10, 11, 12, 13, '10', 14];2 3;6 0 2 1 4 5 3
74;126;ffTrue;5;80error;8 9 1 1;R;R [10, 11, 12, 13];16 1 13;1 5 6 2 3 0 4
75;True;fTrue;8;37982;4 1 4 2;R 12;R error;1 3;3 2 0 1 4 6 5
