var;1;2;4;5;6;7;8;9;10
73;ERROR;39 7 74 0 47 8 18 9;-2;0 8 1 4 5 9 7 6 3 10 11 2;1;4 5 6;4 1 5 3;0 2 4 2 ERR;4 5 3
74;<class 'tuple'>;(42, 5) (87, 8) (34, 2);-6;2 7 4 1 0 8 10 9 3 5 6;0 1 3 4 5 6 7 9;1 2 4 6;12 1 13;2 3;4 5 6
75;<class 'dict'>;23 0 71 2 17 3 18 0;4;4 8 3 9 2 10 6 5 1 0 7;1 2 4 6 8;2 3 4 6;0 1 5 3;2 1;4 5 6
76;<class 'dict'>;56 20 42 53;6;7 11 10 3 0 2 5 6 1 9 4 8;1 7 9 6;2 3 6;0 1 5 3;2 3;4 5 6
77;<class 'list'>;75 56 63 47 64;3;6 1 10 7 4 2 9 3 0 5 8;6 8;2 4 5 6;11 1 13;0 2 4 2 ERR;4 5 3
78;<class 'set'>;4 3 1 1;5;10 1 6 5 8 3 4 11 2 9 0 7;None;1 4 5 6;17 1 13;0 2 4 2 ERR;4 2 6
79;<class 'dict'>;(81, 4) (20, 2) (80, 3) (28, 9);-6;6 0 4 9 2 5 10 1 3 8 7;0 7 8 9;1 5 6;0 4 5 3;0 ERR;4 5 6
80;<class 'list'>;76 56 67;-2;4 0 2 5 8 7 10 6 9 3 1;2 3 5 6 8;5 0 2 3 4 6 1;14 ERR 13;1 3;4 5 6
81;<class 'dict'>;64 0 50 3 62 3 14 8 76 9;-7;9 1 4 8 2 7 10 5 6 0 3;1 2 7 9;1 2 4 5 6;14 ERR 13;2 3;4 2 6
82;<class 'set'>;68 39 89;4;2 9 1 8 10 7 5 11 4 3 6 0;6;3 5 6;0 1 5 3;0 2 4 2 ERR;4 5 6
83;<class 'dict'>;6 2 2;0;6 7 9 11 5 8 4 1 0 3 2 10;4 5 6 7 8 9;2 3 5 6;14 2 13;0 2 4 2 ERR;4 5 3
84;<class 'dict'>;15 5 53 7 29 3 34 1;7;8 7 2 3 0 6 9 10 5 1 4;None;0 1 5 2 3 6 4;0 4 5 3;2 3;4 5 6
85;<class 'list'>;89 9 82 5 86 2;-5;4 2 6 9 10 11 8 1 7 3 5 0;3;1 2 4 6;17 1 13;0 2 4 2 ERR;4 5 6
86;<class 'dict'>;14 63 17 87;4;9 3 2 8 7 0 10 11 6 4 5 1;3 4;2 4 5;0 1 5 3;2 1;4 5 6
87;<class 'dict'>;65 27 88 85 31;-10;5 11 8 0 7 4 1 3 2 6 10 9;0 1 3 4 5 6 7 9;5 1 0 4 2 3 6;4 1 5 3;2 3;4 5 6
88;<class 'set'>;(58, 5) (60, 3) (72, 4) (11, 7);-5;7 8 3 5 2 4 0 9 1 10 6;2 3 5;1 2 6;17 1 13;0 ERR;4 5 6
89;<class 'list'>;53 0 90 0 36 6;6;5 10 7 6 4 9 3 1 2 0 11 8;2 3 4 5 6 7 8 9;1 2 4 6;4 1 5 3;1 3;4 5 3
90;<class 'dict'>;1 1 8;-3;0 11 6 5 7 10 1 8 4 2 9 3;0 3;1 2 5;14 ERR 13;2 3;4 2 6
91;<class 'dict'>;87 9 26 1 34 9 59 5 46 8;4;8 2 0 4 9 7 6 10 3 1 5;1 2 6;2 4 5;0 1 5 3;0 2 4 2 ERR;4 5 6
92;<class 'dict'>;14 34 84 31;8;9 7 0 10 8 6 5 1 3 4 2;0 1 6 9;1 3 4;14 ERR 13;2 3;4 5 6
93;<class 'list'>;3 6 4 3;-8;2 6 1 4 10 9 0 7 8 5 3;2 3 4 6 7 9;1 2 4 6;0 1 5 3;0 2 4 2 ERR;4 2 6
94;<class 'dict'>;(23, 6) (89, 8) (55, 8) (21, 9) (54, 7);5;8 9 10 11 4 5 3 1 6 7 0 2;2 3 4 7;1 2 3 6;0 4 5 3;1 2;4 5 3
95;<class 'list'>;63 82 48 58;1;2 0 4 10 6 3 1 11 8 5 9 7;1 4 7;1 3 5 6;17 2 13;2 3;4 5 6
96;<class 'tuple'>;38 6 26 4 74 4 13 7;-8;1 9 0 10 5 2 4 8 6 7 3 11;1 2 3 4 7;3 0 1 2 4 5 6;4 1 5 3;2 1;4 5 6
97;<class 'dict'>;75 9 69 0 43 2 41 0;-9;9 0 6 8 5 2 4 10 7 1 3 11;0 1 3 4 5 6 7 9;5 0 1 2 4 3 6;0 1 5 3;2 3;4 5 3
98;<class 'tuple'>;(23, 7) (82, 3) (77, 7) (43, 0);9;1 0 7 8 4 3 10 5 9 6 2;2 6 9 0 8;2 3 4 5 6;12 1 13;0 ERR;4 5 6
99;ERROR;2 7 4 3;5;11 4 10 6 9 8 2 1 7 3 5 0;2 3 5;2 3 4 5;14 ERR 13;0 ERR;4 2 6
100;<class 'set'>;12 6 78 4 55 2;6;2 9 5 6 7 10 4 1 8 0 3;1 7 9 6;6 0 1 4 2 5 3;0 1 5 3;0 2 4 2 ERR;4 5 6
101;<class 'list'>;45 13 27 41 22;-4;2 3 6 10 4 8 7 9 0 1 5;8;2 4 5 6;12 1 13;2 3;4 5 6
102;<class 'set'>;15 23 22;-7;6 1 8 10 9 5 7 3 11 2 4 0;4 5 6 7;3 1 4 0 2 5 6;4 1 5 3;1 3;4 5 6
103;<class 'tuple'>;90 82 72 46;5;0 10 1 8 9 6 5 4 3 7 2;5 6 9;1 3 5 6;17 2 13;0 2 4 2 ERR;4 2 6
104;<class 'set'>;18 9 12 7 35 4 39 2;6;3 6 9 0 1 10 8 7 4 5 2;2 3 6 8;0 1 2 3 5 4 6;12 1 13;1 3;4 5 3
105;ERROR;41 63 40 65 60;9;4 1 8 10 2 9 6 7 3 5 0;2 3 4 7;1 3 5;11 1 13;0 ERR;4 5 6
106;<class 'list'>;3 4 2 2;-2;5 9 10 4 0 1 7 6 2 3 8;2 6 7;1 2 4 5 6;0 4 5 3;2 3;4 2 6
107;<class 'list'>;(64, 4) (67, 8) (83, 5) (50, 8) (38, 7);-5;5 3 2 11 4 0 10 9 7 8 6 1;0 7 8 9;2 4 5 6;17 2 13;0 2 4 2 ERR;4 5 3
108;<class 'dict'>;11 4 88 2 40 5;0;1 10 11 5 2 7 6 4 0 8 3 9;2 4 6 7 8;1 2 3;0 1 5 3;0 2 4 2 ERR;4 5 6
109;<class 'list'>;89 53 80 30;6;11 1 8 3 0 10 6 7 4 2 5 9;7 9;0 3 1 2 6 4 5;0 1 5 3;0 2 4 2 ERR;4 5 6
110;<class 'dict'>;4 6 5 7;2;9 4 11 5 7 3 2 10 6 8 0 1;1 2 7 8 9;2 3 4 6;14 1 13;0 2 4 2 ERR;4 5 6
111;<class 'dict'>;32 70 67 83;-10;5 4 1 3 11 7 10 6 8 9 2 0;4 5 6;1 2 6;12 2 13;0 ERR;4 5 6
112;<class 'dict'>;19 4 16 0 65 4 77 6 48 7;1;9 5 11 6 7 3 0 1 2 10 8 4;1 2;1 4 5 6;12 ERR 13;2 1;4 5 3
113;<class 'dict'>;78 2 38 2 19 0 51 2;0;6 2 1 10 7 0 4 9 5 3 8;1 2 6;3 1 2 0 5 6 4;4 1 5 3;1 3;4 5 6
114;<class 'set'>;(25, 0) (37, 4) (69, 3);-5;8 6 7 5 11 9 1 2 0 4 10 3;2 6 9 0 8;1 2 3 5 6;14 1 13;0 2 4 2 ERR;4 2 6
115;<class 'dict'>;15 5 53 9 16 0 80 6;-10;10 6 3 5 2 4 8 7 0 1 9;2 3 4 6 7 9;1 5 6;11 1 13;2 3;4 5 6
116;<class 'dict'>;(28, 0) (17, 0) (58, 3) (38, 2);2;4 3 5 7 1 6 10 8 2 9 0;0 3 6 7 8;1 3 4 5 6;4 1 5 3;0 2 4 2 ERR;4 5 6
117;<class 'list'>;8 3 9;3;7 9 8 11 0 3 4 6 2 1 10 5;2 4 5 8 9;1 2 6;0 1 5 3;2 1;4 2 6
118;<class 'set'>;15 69 30;3;10 7 0 2 8 9 11 3 1 6 5 4;1 9;2 3 4 6;4 1 5 3;1 3;4 5 6
119;<class 'tuple'>;84 9 50 0 22 1 88 1;8;1 0 8 11 2 7 5 6 9 4 10 3;0 1 6 8 9;2 3 6;14 ERR 13;0 ERR;4 5 6
120;<class 'dict'>;29 53 63 66 55;-9;10 9 4 8 6 2 1 0 3 7 5;6 8;1 5 6;0 1 5 3;1 3;4 5 3
121;<class 'dict'>;65 8 69 2 72 5 90 6 47 8 80 3;4;9 0 4 11 5 1 3 10 6 7 8 2;1 2 3 4 7;3 2 0 1 4 5 6;4 1 5 3;2 3;4 2 6
122;<class 'dict'>;(53, 2) (19, 8) (13, 8);-6;2 7 9 3 10 0 4 6 5 1 8;0 1 4 8 9;2 1 3 4 0 5 6;14 ERR 13;0 2 4 2 ERR;4 5 3
123;<class 'tuple'>;37 39 75 72 77;1;8 7 10 6 0 9 5 3 1 4 2;2 4 5 8 9;6 0 3 1 4 5 2;12 ERR 13;0 ERR;4 5 6
124;<class 'list'>;21 57 89 32;-2;4 0 3 6 10 8 1 7 9 2 5;0 3 7 8 9;1 2 4 5 6;12 1 13;2 3;4 5 6
125;<class 'set'>;87 9 35 7 54 9 39 7;3;10 3 0 1 4 9 7 6 2 5 8;2 4 6 7 8;2 4 0 1 6 3 5;14 ERR 13;0 2 4 2 ERR;4 5 6
126;<class 'list'>;2 6 8 1;-1;0 2 5 4 11 10 1 3 7 9 6 8;0 7 5 4 2;1 3 4 5 6;14 ERR 13;1 3;4 5 6
127;<class 'list'>;87 5 47 6 88 4 33 2;-2;4 9 11 1 2 6 3 8 7 10 5 0;2 3 4 8;1 2 3 6;11 2 13;1 2;4 5 6
128;<class 'dict'>;7 5 6;5;9 10 5 4 8 0 2 3 1 6 7;4 6 7 8 9;6 1 2 0 4 5 3;0 1 5 3;1 3;4 5 3
129;ERROR;10 9 51 0 55 3 33 5 85 2;2;6 7 4 0 1 10 9 5 3 8 2;7;1 2 3 6;11 ERR 13;2 3;4 5 6
